text,URL,label,url_length,has_ip_address,dot_count,https_flag,subdomain_count
"Welcome to our website, user 4625",https://www.legit4625.com/login,0,31,0,2,1,1
"Welcome to our website, user 4949",https://www.legit4949.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 3328",http://192.168.13.13/login.php,1,30,1,4,0,3
"Welcome to our website, user 3337",https://www.legit3337.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 589",http://192.168.79.79/login.php,1,30,1,4,0,3
"Welcome to our website, user 251",https://www.legit251.com/login,0,30,0,2,1,1
"Welcome to our website, user 3973",https://www.legit3973.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 1630",http://192.168.100.100/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 547",http://192.168.37.37/login.php,1,30,1,4,0,3
"Welcome to our website, user 35",https://www.legit35.com/login,0,29,0,2,1,1
"Your account has been compromised, click here 3362",http://192.168.47.47/login.php,1,30,1,4,0,3
"Welcome to our website, user 1513",https://www.legit1513.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 4317",http://192.168.237.237/login.php,1,32,1,4,0,3
"Welcome to our website, user 39",https://www.legit39.com/login,0,29,0,2,1,1
"Welcome to our website, user 4819",https://www.legit4819.com/login,0,31,0,2,1,1
"Welcome to our website, user 3465",https://www.legit3465.com/login,0,31,0,2,1,1
"Welcome to our website, user 1760",https://www.legit1760.com/login,0,31,0,2,1,1
"Welcome to our website, user 2304",https://www.legit2304.com/login,0,31,0,2,1,1
"Welcome to our website, user 3723",https://www.legit3723.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 3284",http://192.168.224.224/login.php,1,32,1,4,0,3
"Welcome to our website, user 4993",https://www.legit4993.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 3127",http://192.168.67.67/login.php,1,30,1,4,0,3
"Welcome to our website, user 3032",https://www.legit3032.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 2938",http://192.168.133.133/login.php,1,32,1,4,0,3
"Welcome to our website, user 3039",https://www.legit3039.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 4655",http://192.168.65.65/login.php,1,30,1,4,0,3
"Welcome to our website, user 2545",https://www.legit2545.com/login,0,31,0,2,1,1
"Welcome to our website, user 2592",https://www.legit2592.com/login,0,31,0,2,1,1
"Welcome to our website, user 1188",https://www.legit1188.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 2966",http://192.168.161.161/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 1077",http://192.168.57.57/login.php,1,30,1,4,0,3
"Welcome to our website, user 107",https://www.legit107.com/login,0,30,0,2,1,1
"Welcome to our website, user 1315",https://www.legit1315.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 3187",http://192.168.127.127/login.php,1,32,1,4,0,3
"Welcome to our website, user 2753",https://www.legit2753.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 4753",http://192.168.163.163/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 1231",http://192.168.211.211/login.php,1,32,1,4,0,3
"Welcome to our website, user 2876",https://www.legit2876.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 323",http://192.168.68.68/login.php,1,30,1,4,0,3
"Welcome to our website, user 799",https://www.legit799.com/login,0,30,0,2,1,1
"Welcome to our website, user 3570",https://www.legit3570.com/login,0,31,0,2,1,1
"Welcome to our website, user 2894",https://www.legit2894.com/login,0,31,0,2,1,1
"Welcome to our website, user 2927",https://www.legit2927.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 3178",http://192.168.118.118/login.php,1,32,1,4,0,3
"Welcome to our website, user 971",https://www.legit971.com/login,0,30,0,2,1,1
"Your account has been compromised, click here 1687",http://192.168.157.157/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 3575",http://192.168.5.5/login.php,1,28,1,4,0,3
"Welcome to our website, user 2020",https://www.legit2020.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 4054",http://192.168.229.229/login.php,1,32,1,4,0,3
"Welcome to our website, user 952",https://www.legit952.com/login,0,30,0,2,1,1
"Your account has been compromised, click here 359",http://192.168.104.104/login.php,1,32,1,4,0,3
"Welcome to our website, user 3857",https://www.legit3857.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 861",http://192.168.96.96/login.php,1,30,1,4,0,3
"Welcome to our website, user 3145",https://www.legit3145.com/login,0,31,0,2,1,1
"Welcome to our website, user 3305",https://www.legit3305.com/login,0,31,0,2,1,1
"Welcome to our website, user 3006",https://www.legit3006.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 4001",http://192.168.176.176/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 2770",http://192.168.220.220/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 2438",http://192.168.143.143/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 2942",http://192.168.137.137/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 4238",http://192.168.158.158/login.php,1,32,1,4,0,3
"Welcome to our website, user 1056",https://www.legit1056.com/login,0,31,0,2,1,1
"Welcome to our website, user 3154",https://www.legit3154.com/login,0,31,0,2,1,1
"Welcome to our website, user 3787",https://www.legit3787.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 4189",http://192.168.109.109/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 2825",http://192.168.20.20/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 2539",http://192.168.244.244/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 2231",http://192.168.191.191/login.php,1,32,1,4,0,3
"Welcome to our website, user 764",https://www.legit764.com/login,0,30,0,2,1,1
"Your account has been compromised, click here 19",http://192.168.19.19/login.php,1,30,1,4,0,3
"Welcome to our website, user 4903",https://www.legit4903.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 3093",http://192.168.33.33/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 1843",http://192.168.58.58/login.php,1,30,1,4,0,3
"Welcome to our website, user 2165",https://www.legit2165.com/login,0,31,0,2,1,1
"Welcome to our website, user 1862",https://www.legit1862.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 2850",http://192.168.45.45/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 4123",http://192.168.43.43/login.php,1,30,1,4,0,3
"Welcome to our website, user 2340",https://www.legit2340.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 527",http://192.168.17.17/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 1743",http://192.168.213.213/login.php,1,32,1,4,0,3
"Welcome to our website, user 4003",https://www.legit4003.com/login,0,31,0,2,1,1
"Welcome to our website, user 1123",https://www.legit1123.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 3709",http://192.168.139.139/login.php,1,32,1,4,0,3
"Welcome to our website, user 4049",https://www.legit4049.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 2640",http://192.168.90.90/login.php,1,30,1,4,0,3
"Welcome to our website, user 765",https://www.legit765.com/login,0,30,0,2,1,1
"Welcome to our website, user 2344",https://www.legit2344.com/login,0,31,0,2,1,1
"Welcome to our website, user 4071",https://www.legit4071.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 2216",http://192.168.176.176/login.php,1,32,1,4,0,3
"Welcome to our website, user 4216",https://www.legit4216.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 2952",http://192.168.147.147/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 970",http://192.168.205.205/login.php,1,32,1,4,0,3
"Welcome to our website, user 3350",https://www.legit3350.com/login,0,31,0,2,1,1
"Welcome to our website, user 4695",https://www.legit4695.com/login,0,31,0,2,1,1
"Welcome to our website, user 3399",https://www.legit3399.com/login,0,31,0,2,1,1
"Welcome to our website, user 4081",https://www.legit4081.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 4149",http://192.168.69.69/login.php,1,30,1,4,0,3
"Welcome to our website, user 1224",https://www.legit1224.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 1292",http://192.168.17.17/login.php,1,30,1,4,0,3
"Welcome to our website, user 3122",https://www.legit3122.com/login,0,31,0,2,1,1
"Welcome to our website, user 510",https://www.legit510.com/login,0,30,0,2,1,1
"Your account has been compromised, click here 794",http://192.168.29.29/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 3181",http://192.168.121.121/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 4417",http://192.168.82.82/login.php,1,30,1,4,0,3
"Welcome to our website, user 96",https://www.legit96.com/login,0,29,0,2,1,1
"Your account has been compromised, click here 1681",http://192.168.151.151/login.php,1,32,1,4,0,3
"Welcome to our website, user 1512",https://www.legit1512.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 3791",http://192.168.221.221/login.php,1,32,1,4,0,3
"Welcome to our website, user 119",https://www.legit119.com/login,0,30,0,2,1,1
"Your account has been compromised, click here 2791",http://192.168.241.241/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 1517",http://192.168.242.242/login.php,1,32,1,4,0,3
"Welcome to our website, user 33",https://www.legit33.com/login,0,29,0,2,1,1
"Your account has been compromised, click here 2887",http://192.168.82.82/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 1830",http://192.168.45.45/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 421",http://192.168.166.166/login.php,1,32,1,4,0,3
"Welcome to our website, user 1068",https://www.legit1068.com/login,0,31,0,2,1,1
"Welcome to our website, user 1347",https://www.legit1347.com/login,0,31,0,2,1,1
"Welcome to our website, user 4747",https://www.legit4747.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 1005",http://192.168.240.240/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 1039",http://192.168.19.19/login.php,1,30,1,4,0,3
"Welcome to our website, user 3817",https://www.legit3817.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 3446",http://192.168.131.131/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 269",http://192.168.14.14/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 1897",http://192.168.112.112/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 309",http://192.168.54.54/login.php,1,30,1,4,0,3
"Welcome to our website, user 31",https://www.legit31.com/login,0,29,0,2,1,1
"Your account has been compromised, click here 674",http://192.168.164.164/login.php,1,32,1,4,0,3
"Welcome to our website, user 4386",https://www.legit4386.com/login,0,31,0,2,1,1
"Welcome to our website, user 29",https://www.legit29.com/login,0,29,0,2,1,1
"Welcome to our website, user 4202",https://www.legit4202.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 2507",http://192.168.212.212/login.php,1,32,1,4,0,3
"Welcome to our website, user 735",https://www.legit735.com/login,0,30,0,2,1,1
"Welcome to our website, user 2067",https://www.legit2067.com/login,0,31,0,2,1,1
"Welcome to our website, user 106",https://www.legit106.com/login,0,30,0,2,1,1
"Your account has been compromised, click here 4644",http://192.168.54.54/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 3894",http://192.168.69.69/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 3020",http://192.168.215.215/login.php,1,32,1,4,0,3
"Welcome to our website, user 2232",https://www.legit2232.com/login,0,31,0,2,1,1
"Welcome to our website, user 993",https://www.legit993.com/login,0,30,0,2,1,1
"Your account has been compromised, click here 4412",http://192.168.77.77/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 2058",http://192.168.18.18/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 1789",http://192.168.4.4/login.php,1,28,1,4,0,3
"Welcome to our website, user 360",https://www.legit360.com/login,0,30,0,2,1,1
"Welcome to our website, user 304",https://www.legit304.com/login,0,30,0,2,1,1
"Welcome to our website, user 2627",https://www.legit2627.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 3965",http://192.168.140.140/login.php,1,32,1,4,0,3
"Welcome to our website, user 4513",https://www.legit4513.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 910",http://192.168.145.145/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 3313",http://192.168.253.253/login.php,1,32,1,4,0,3
"Welcome to our website, user 3100",https://www.legit3100.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 703",http://192.168.193.193/login.php,1,32,1,4,0,3
"Welcome to our website, user 3898",https://www.legit3898.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 440",http://192.168.185.185/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 2930",http://192.168.125.125/login.php,1,32,1,4,0,3
"Welcome to our website, user 621",https://www.legit621.com/login,0,30,0,2,1,1
"Your account has been compromised, click here 2235",http://192.168.195.195/login.php,1,32,1,4,0,3
"Welcome to our website, user 2498",https://www.legit2498.com/login,0,31,0,2,1,1
"Welcome to our website, user 713",https://www.legit713.com/login,0,30,0,2,1,1
"Your account has been compromised, click here 3403",http://192.168.88.88/login.php,1,30,1,4,0,3
"Welcome to our website, user 2855",https://www.legit2855.com/login,0,31,0,2,1,1
"Welcome to our website, user 4269",https://www.legit4269.com/login,0,31,0,2,1,1
"Welcome to our website, user 2908",https://www.legit2908.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 3080",http://192.168.20.20/login.php,1,30,1,4,0,3
"Welcome to our website, user 4516",https://www.legit4516.com/login,0,31,0,2,1,1
"Welcome to our website, user 1261",https://www.legit1261.com/login,0,31,0,2,1,1
"Welcome to our website, user 3160",https://www.legit3160.com/login,0,31,0,2,1,1
"Welcome to our website, user 970",https://www.legit970.com/login,0,30,0,2,1,1
"Welcome to our website, user 3912",https://www.legit3912.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 198",http://192.168.198.198/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 3846",http://192.168.21.21/login.php,1,30,1,4,0,3
"Welcome to our website, user 259",https://www.legit259.com/login,0,30,0,2,1,1
"Welcome to our website, user 3790",https://www.legit3790.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 4202",http://192.168.122.122/login.php,1,32,1,4,0,3
"Welcome to our website, user 487",https://www.legit487.com/login,0,30,0,2,1,1
"Your account has been compromised, click here 2907",http://192.168.102.102/login.php,1,32,1,4,0,3
"Welcome to our website, user 518",https://www.legit518.com/login,0,30,0,2,1,1
"Your account has been compromised, click here 3342",http://192.168.27.27/login.php,1,30,1,4,0,3
"Welcome to our website, user 311",https://www.legit311.com/login,0,30,0,2,1,1
"Welcome to our website, user 3231",https://www.legit3231.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 2932",http://192.168.127.127/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 2457",http://192.168.162.162/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 4783",http://192.168.193.193/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 183",http://192.168.183.183/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 3076",http://192.168.16.16/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 1501",http://192.168.226.226/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 1790",http://192.168.5.5/login.php,1,28,1,4,0,3
"Your account has been compromised, click here 2772",http://192.168.222.222/login.php,1,32,1,4,0,3
"Welcome to our website, user 2737",https://www.legit2737.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 2841",http://192.168.36.36/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 1261",http://192.168.241.241/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 3205",http://192.168.145.145/login.php,1,32,1,4,0,3
"Welcome to our website, user 1247",https://www.legit1247.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 4335",http://192.168.0.0/login.php,1,28,1,4,0,3
"Welcome to our website, user 4194",https://www.legit4194.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 3000",http://192.168.195.195/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 2377",http://192.168.82.82/login.php,1,30,1,4,0,3
"Welcome to our website, user 3434",https://www.legit3434.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 381",http://192.168.126.126/login.php,1,32,1,4,0,3
"Welcome to our website, user 958",https://www.legit958.com/login,0,30,0,2,1,1
"Welcome to our website, user 416",https://www.legit416.com/login,0,30,0,2,1,1
"Your account has been compromised, click here 741",http://192.168.231.231/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 1727",http://192.168.197.197/login.php,1,32,1,4,0,3
"Welcome to our website, user 4381",https://www.legit4381.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 196",http://192.168.196.196/login.php,1,32,1,4,0,3
"Welcome to our website, user 1112",https://www.legit1112.com/login,0,31,0,2,1,1
"Welcome to our website, user 2688",https://www.legit2688.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 1472",http://192.168.197.197/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 3819",http://192.168.249.249/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 2807",http://192.168.2.2/login.php,1,28,1,4,0,3
"Welcome to our website, user 3410",https://www.legit3410.com/login,0,31,0,2,1,1
"Welcome to our website, user 80",https://www.legit80.com/login,0,29,0,2,1,1
"Welcome to our website, user 4613",https://www.legit4613.com/login,0,31,0,2,1,1
"Welcome to our website, user 1373",https://www.legit1373.com/login,0,31,0,2,1,1
"Welcome to our website, user 1509",https://www.legit1509.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 1442",http://192.168.167.167/login.php,1,32,1,4,0,3
"Welcome to our website, user 3070",https://www.legit3070.com/login,0,31,0,2,1,1
"Welcome to our website, user 3015",https://www.legit3015.com/login,0,31,0,2,1,1
"Welcome to our website, user 4822",https://www.legit4822.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 2821",http://192.168.16.16/login.php,1,30,1,4,0,3
"Welcome to our website, user 92",https://www.legit92.com/login,0,29,0,2,1,1
"Your account has been compromised, click here 4420",http://192.168.85.85/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 1599",http://192.168.69.69/login.php,1,30,1,4,0,3
"Welcome to our website, user 4442",https://www.legit4442.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 2601",http://192.168.51.51/login.php,1,30,1,4,0,3
"Welcome to our website, user 3834",https://www.legit3834.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 4701",http://192.168.111.111/login.php,1,32,1,4,0,3
"Welcome to our website, user 4321",https://www.legit4321.com/login,0,31,0,2,1,1
"Welcome to our website, user 3393",https://www.legit3393.com/login,0,31,0,2,1,1
"Welcome to our website, user 4751",https://www.legit4751.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 2228",http://192.168.188.188/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 4190",http://192.168.110.110/login.php,1,32,1,4,0,3
"Welcome to our website, user 2360",https://www.legit2360.com/login,0,31,0,2,1,1
"Welcome to our website, user 1147",https://www.legit1147.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 665",http://192.168.155.155/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 3074",http://192.168.14.14/login.php,1,30,1,4,0,3
"Welcome to our website, user 4942",https://www.legit4942.com/login,0,31,0,2,1,1
"Welcome to our website, user 3662",https://www.legit3662.com/login,0,31,0,2,1,1
"Welcome to our website, user 1562",https://www.legit1562.com/login,0,31,0,2,1,1
"Welcome to our website, user 4112",https://www.legit4112.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 4049",http://192.168.224.224/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 4275",http://192.168.195.195/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 3537",http://192.168.222.222/login.php,1,32,1,4,0,3
"Welcome to our website, user 794",https://www.legit794.com/login,0,30,0,2,1,1
"Your account has been compromised, click here 853",http://192.168.88.88/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 2618",http://192.168.68.68/login.php,1,30,1,4,0,3
"Welcome to our website, user 1593",https://www.legit1593.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 2417",http://192.168.122.122/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 266",http://192.168.11.11/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 2146",http://192.168.106.106/login.php,1,32,1,4,0,3
"Welcome to our website, user 88",https://www.legit88.com/login,0,29,0,2,1,1
"Your account has been compromised, click here 3694",http://192.168.124.124/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 4731",http://192.168.141.141/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 4445",http://192.168.110.110/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 1753",http://192.168.223.223/login.php,1,32,1,4,0,3
"Welcome to our website, user 3501",https://www.legit3501.com/login,0,31,0,2,1,1
"Welcome to our website, user 2233",https://www.legit2233.com/login,0,31,0,2,1,1
"Welcome to our website, user 2802",https://www.legit2802.com/login,0,31,0,2,1,1
"Welcome to our website, user 4423",https://www.legit4423.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 662",http://192.168.152.152/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 2169",http://192.168.129.129/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 3336",http://192.168.21.21/login.php,1,30,1,4,0,3
"Welcome to our website, user 2147",https://www.legit2147.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 2968",http://192.168.163.163/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 1550",http://192.168.20.20/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 2642",http://192.168.92.92/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 1163",http://192.168.143.143/login.php,1,32,1,4,0,3
"Welcome to our website, user 1494",https://www.legit1494.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 2695",http://192.168.145.145/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 2093",http://192.168.53.53/login.php,1,30,1,4,0,3
"Welcome to our website, user 1408",https://www.legit1408.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 1690",http://192.168.160.160/login.php,1,32,1,4,0,3
"Welcome to our website, user 3400",https://www.legit3400.com/login,0,31,0,2,1,1
"Welcome to our website, user 108",https://www.legit108.com/login,0,30,0,2,1,1
"Your account has been compromised, click here 635",http://192.168.125.125/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 3481",http://192.168.166.166/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 1603",http://192.168.73.73/login.php,1,30,1,4,0,3
"Welcome to our website, user 1090",https://www.legit1090.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 559",http://192.168.49.49/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 4411",http://192.168.76.76/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 3142",http://192.168.82.82/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 3663",http://192.168.93.93/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 1595",http://192.168.65.65/login.php,1,30,1,4,0,3
"Welcome to our website, user 623",https://www.legit623.com/login,0,30,0,2,1,1
"Your account has been compromised, click here 1870",http://192.168.85.85/login.php,1,30,1,4,0,3
"Welcome to our website, user 4813",https://www.legit4813.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 1552",http://192.168.22.22/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 2529",http://192.168.234.234/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 795",http://192.168.30.30/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 2436",http://192.168.141.141/login.php,1,32,1,4,0,3
"Welcome to our website, user 4217",https://www.legit4217.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 940",http://192.168.175.175/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 3500",http://192.168.185.185/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 1428",http://192.168.153.153/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 1826",http://192.168.41.41/login.php,1,30,1,4,0,3
"Welcome to our website, user 4130",https://www.legit4130.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 2801",http://192.168.251.251/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 2753",http://192.168.203.203/login.php,1,32,1,4,0,3
"Welcome to our website, user 4721",https://www.legit4721.com/login,0,31,0,2,1,1
"Welcome to our website, user 1650",https://www.legit1650.com/login,0,31,0,2,1,1
"Welcome to our website, user 4140",https://www.legit4140.com/login,0,31,0,2,1,1
"Welcome to our website, user 1617",https://www.legit1617.com/login,0,31,0,2,1,1
"Welcome to our website, user 2029",https://www.legit2029.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 3517",http://192.168.202.202/login.php,1,32,1,4,0,3
"Welcome to our website, user 4575",https://www.legit4575.com/login,0,31,0,2,1,1
"Welcome to our website, user 3992",https://www.legit3992.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 2376",http://192.168.81.81/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 1149",http://192.168.129.129/login.php,1,32,1,4,0,3
"Welcome to our website, user 4908",https://www.legit4908.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 26",http://192.168.26.26/login.php,1,30,1,4,0,3
"Your account has been compromised, click here 3260",http://192.168.200.200/login.php,1,32,1,4,0,3
"Welcome to our website, user 4731",https://www.legit4731.com/login,0,31,0,2,1,1
"Your account has been compromised, click here 2548",http://192.168.253.253/login.php,1,32,1,4,0,3
"Your account has been compromised, click here 3134",http://192.168.74.74/login.php,1,30,1,4,0,3
"Welcome to our website, user 1606",https://www.legit1606.com/login,0,31,0,2,1,1
